Trap.Station.Latitude,Trap.Station.Longitude,Date.Time,StationName,Individual.ID,Sex,Beach
10.80369,-85.68534,10/10/2022,AMSTAR,Dani,Male,Naranjo
10.80369,-85.68534,11/13/2022,AMSTAR,Dani,Male,Naranjo
10.80369,-85.68534,12/03/2022,AMSTAR,Dani,Male,Naranjo
10.80604,-85.69723,11/29/2022,MONI,Dani,Male,Nancite
10.80371,-85.69659,09/22/2022,CALU,Dani,Male,Nancite
10.80371,-85.69659,10/08/2022,CALU,Dani,Male,Nancite
10.80371,-85.69659,10/28/2022,CALU,Dani,Male,Nancite
10.80168,-85.69473,09/03/2022,JEUC,Dani,Male,Nancite
10.80168,-85.69473,11/06/2022,JEUC,Dani,Male,Nancite
10.80168,-85.69473,11/20/2022,JEUC,Dani,Male,Nancite
10.80369,-85.68534,02/15/2022,AMSTAR,Dani,Male,Naranjo
10.78209,-85.6667,10/30/2022,XAVI,Dani,Male,Naranjo
10.80168,-85.69473,02/11/2022,JEUC,Ericka,Female,Nancite
10.80168,-85.69473,06/19/2022,JEUC,Ericka,Female,Nancite
10.80369,-85.68534,05/24/2022,AMSTAR,Ericka,Female,Naranjo
10.80369,-85.68534,05/25/2022,AMSTAR,Ericka,Female,Naranjo
10.80369,-85.68534,06/24/2022,AMSTAR,Ericka,Female,Naranjo
10.80369,-85.68534,12/05/2022,AMSTAR,Ericka,Female,Naranjo
10.80369,-85.68534,12/31/2022,AMSTAR,Ericka,Female,Naranjo
10.78866,-85.67226,05/22/2022,CARO,Ericka,Female,Naranjo
10.76491,-85.65644,05/06/2022,CREW,Ericka,Female,Naranjo
10.76491,-85.65644,11/17/2022,CREW,Ericka,Female,Naranjo
10.76491,-85.65644,01/10/2022,CREW,Ericka,Female,Naranjo
10.80762,-85.70203,12/16/2022,LUCI,Ericka,Female,Nancite
10.76491,-85.65644,02/15/2022,CREW,Ericka,Female,Naranjo
10.80369,-85.68534,07/16/2022,AMSTAR,Ericka,Female,Naranjo
10.80369,-85.68534,12/30/2022,AMSTAR,Ericka,Female,Naranjo
10.80168,-85.69473,03/24/2022,JEUC,Ericka,Female,Nancite
10.80168,-85.69473,06/21/2022,JEUC,Ericka,Female,Nancite
10.80168,-85.69473,11/20/2022,JEUC,Ericka,Female,Nancite
10.80369,-85.68534,06/25/2022,AMSTAR,Ericka,Female,Naranjo
10.80369,-85.68534,05/24/2022,AMSTAR,Felipe,Male,Naranjo
10.80369,-85.68534,05/25/2022,AMSTAR,Felipe,Male,Naranjo
10.80369,-85.68534,06/24/2022,AMSTAR,Felipe,Male,Naranjo
10.86045,-85.85512,11/11/2022,CHAI,Felipe,Male,Coloradas
10.86045,-85.85512,11/12/2022,CHAI,Felipe,Male,Coloradas
10.80168,-85.69473,06/25/2022,JEUC,Felipe,Male,Nancite
10.80762,-85.70203,06/19/2022,LUCI,Felipe,Male,Nancite
10.80762,-85.70203,06/20/2022,LUCI,Felipe,Male,Nancite
10.80762,-85.70203,06/21/2022,LUCI,Felipe,Male,Nancite
10.86796,-85.85941,06/04/2022,MONO,Felipe,Male,Coloradas
10.86796,-85.85941,06/05/2022,MONO,Felipe,Male,Coloradas
10.87002,-85.8586,03/30/2022,OCTA,Felipe,Male,Coloradas
10.87002,-85.8586,04/23/2022,OCTA,Felipe,Male,Coloradas
